id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21641918,Gemütliches helles Gästezimmer nahe München,20805795,Anja,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08874,11.45286,Private room,110,2,116,2022-09-21,1.98,1,124,28,
14711185,Mi casa es su casa,56395839,Karina,,Ramersdorf-Perlach,48.06729,11.68791,Private room,45,2,19,2022-09-14,0.26,1,3,1,
20162448,Shabby chic 30 minutes to Oktoberfest .,41482289,Monika,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.05279,11.5168,Private room,120,2,7,2022-07-03,0.11,1,352,1,
24837769,Hohenbrunn(MUC)-Zuhause mit Aussicht und City Nähe,172211954,Hans,,Ramersdorf-Perlach,48.05834,11.68273,Entire home/apt,100,14,20,2021-08-26,0.39,1,263,0,
20900945,Guesthouse at fasanenpark,150163486,Sebastian,,Obergiesing,48.07915,11.60669,Private room,137,2,30,2022-08-23,0.49,1,52,4,
19172449,!ROOM + GYM (exkl.)!  Gardenfeelin´in Gröbenzell.,118384105,Martin,,Aubing-Lochhausen-Langwied,48.18897,11.38372,Private room,71,3,19,2022-09-20,0.39,1,158,11,
32161406,Modern apartment 5 min to ICM,130229894,Julia,,Tudering-Riem,48.14463,11.7261,Entire home/apt,200,3,1,2019-04-13,0.02,1,55,0,
638807762883617116,Garching Wohnung,461817209,Angel,,Schwabing-Freimann,48.24702,11.61236,Private room,143,5,1,2022-08-26,1,1,63,1,
15372703,Luxus Villa in München,98201030,Maria,,Untergiesing-Harlaching,48.06084,11.54858,Entire home/apt,500,2,67,2021-10-25,0.94,1,345,2,
6797429,2 Rooms | 5***** Chalet Ambience with Garden,35576962,Monika,,Aubing-Lochhausen-Langwied,48.12998,11.43065,Entire home/apt,383,2,21,2022-08-28,0.28,3,306,7,
22022948,Urlaub wie bei Freunden,151097379,Brigitte CHRISTINE,,Pasing-Obermenzing,48.13051,11.43978,Entire home/apt,110,3,23,2022-09-18,0.44,2,145,5,
36435660,"Cozy room near by river,  beergarden + Oktoberfest",197701499,An,,Pasing-Obermenzing,48.12545,11.44428,Private room,95,2,14,2022-08-30,0.36,1,347,10,
6796688,5***** Chalet Ambience in Munich,35576962,Monika,,Aubing-Lochhausen-Langwied,48.13185,11.42874,Entire home/apt,226,2,19,2022-08-22,0.22,3,5,4,
32162006,Haus mit Garten für Familie,241275090,Mina,,Aubing-Lochhausen-Langwied,48.12943,11.37674,Entire home/apt,80,7,5,2021-08-28,0.12,1,156,0,
694217459549036986,Wohnung mit Tiefgarage in S-Bahn Nähe OKTOBERFEST,73495213,Mario,,Aubing-Lochhausen-Langwied,48.13811223077677,11.38553573275133,Entire home/apt,399,1,0,,,1,365,0,
26655278,Accommodation and facilities in MUNCHEN,200369511,Kristen,,Bogenhausen,48.17524,11.64164,Shared room,150,1,0,,,1,180,0,
51384676,Übernachten in Germering bei Thomas und Inge,51661969,Thomas Und Inge,,Aubing-Lochhausen-Langwied,48.13337,11.37553,Private room,46,1,28,2022-09-19,2.11,1,138,26,
674704440687427887,Room No. 1 with bathroom in nature near Munich,464264971,Dragan,,Feldmoching-Hasenbergl,48.25216,11.52729,Private room,69,1,6,2022-09-18,5.45,5,116,6,
3549735,Gästezimmer für max. 2 Personen,17869343,Mandy,,Tudering-Riem,48.10873,11.73175,Private room,42,3,33,2022-08-07,0.34,1,267,3,
33759643,Nicolas Einliegerwohnung,254480083,Nicola,,Ramersdorf-Perlach,48.05984,11.68621,Private room,120,2,21,2022-08-21,0.51,1,160,14,
34359329,Privates Zimmer in 8min Fussweg an der Sbahn/Bus,73599872,Manuela,,Ramersdorf-Perlach,48.06113,11.68635,Private room,105,1,12,2020-08-20,0.29,1,143,0,
52274090,Schönes Studio in Grünwald,135774228,Margarit,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.0518,11.53808,Entire home/apt,69,2,0,,,1,262,0,
688338941517845888,Schön und saubere Wohnung in Gröbenzell,468720606,Bashir Ahmad,,Aubing-Lochhausen-Langwied,48.19089,11.37184,Private room,60,1,0,,,1,359,0,
15039478,Romantic chinese room private WC & Free Parking,42340789,Helen,,Ramersdorf-Perlach,48.06729,11.66806,Private room,95,1,280,2022-09-14,3.83,1,33,45,
717166621345662948,Bezauberndes Gästehaus mit kostenlosen Parkplatz,479738731,Sabine,,Feldmoching-Hasenbergl,48.228093736038176,11.474737177328166,Entire home/apt,64,3,0,,,1,80,0,
698536743680760675,Großes Zimmer mit eigenem Bad und Balkon für 4 Per,418504615,Josefine,,Allach-Untermenzing,48.22357734781999,11.469740347637492,Entire home/apt,115,2,0,,,1,72,0,
49957052,Idyllisches Gartenhaus nahe Karlsfelder See,39546092,Karin,,Feldmoching-Hasenbergl,48.23095,11.47053,Entire home/apt,55,2,12,2022-08-22,0.88,1,71,11,
52714883,Pretty room w/ balcony - 15 min from city and fair,5116256,Thomas,,Tudering-Riem,48.11877,11.70016,Private room,110,2,8,2022-09-20,0.71,2,5,8,
37394798,Ruhiges Gästezimmer im Vorort,53163734,Renate,,Ramersdorf-Perlach,48.07492,11.69608,Private room,46,1,31,2022-09-09,0.81,1,156,20,
38818885,Stadt-Land-Fluss ( München- Ismaning- Isar),21561594,Margarete,,Schwabing-Freimann,48.21954,11.66466,Entire home/apt,50,3,11,2022-07-23,0.30,1,0,2,
51955543,cosy room2,54711458,Hajnal,,Ramersdorf-Perlach,48.07218,11.68905,Private room,46,1,4,2022-08-23,1.01,1,339,4,
